iter	Passed	Remaining
0	137	137791
1	139	69598
2	141	47140
3	143	35633
4	144	28692
5	145	24117
6	147	20854
7	148	18380
8	149	16411
9	149	14840
10	150	13566
11	151	12507
12	152	11601
13	153	10828
14	154	10140
15	155	9550
16	156	9026
17	157	8567
18	157	8151
19	158	7772
20	159	7435
21	160	7127
22	160	6838
23	161	6577
24	162	6352
25	163	6124
26	164	5911
27	164	5713
28	165	5530
29	165	5359
30	166	5199
31	166	5049
32	167	4908
33	168	4776
34	168	4648
35	169	4528
36	169	4417
37	170	4310
38	170	4208
39	171	4112
40	171	4023
41	172	3935
42	173	3852
43	173	3772
44	174	3696
45	174	3624
46	175	3556
47	175	3490
48	176	3426
49	177	3369
50	178	3314
51	178	3262
52	179	3207
53	180	3154
54	180	3104
55	181	3055
56	181	3006
57	182	2962
58	183	2920
59	183	2880
60	184	2839
61	185	2800
62	185	2761
63	186	2724
64	186	2688
65	187	2653
66	188	2620
67	188	2586
68	189	2553
69	189	2522
70	190	2492
71	191	2462
72	191	2434
73	192	2405
74	192	2379
75	193	2354
76	194	2329
77	194	2304
78	195	2280
79	196	2256
80	196	2234
81	197	2212
82	197	2186
83	198	2165
84	199	2144
85	199	2124
86	200	2105
87	201	2086
88	202	2068
89	202	2051
90	203	2033
91	204	2016
92	204	1998
93	205	1980
94	206	1963
95	206	1945
96	207	1930
97	208	1917
98	209	1904
99	209	1889
100	210	1874
101	211	1860
102	211	1845
103	212	1831
104	213	1816
105	213	1802
106	214	1788
107	214	1775
108	215	1761
109	216	1748
110	216	1734
111	217	1722
112	217	1709
113	218	1697
114	219	1685
115	219	1673
116	220	1660
117	220	1648
118	221	1636
119	221	1626
120	222	1615
121	222	1604
122	223	1594
123	224	1584
124	224	1574
125	225	1564
126	226	1553
127	226	1543
128	227	1534
129	227	1524
130	228	1515
131	229	1506
132	229	1497
133	230	1488
134	230	1479
135	231	1471
136	232	1462
137	232	1454
138	233	1446
139	234	1438
140	234	1430
141	235	1421
142	235	1413
143	236	1405
144	237	1397
145	237	1390
146	238	1383
147	239	1376
148	239	1369
149	240	1362
150	241	1355
151	241	1348
152	242	1341
153	243	1334
154	243	1328
155	244	1321
156	244	1315
157	245	1308
158	246	1301
159	246	1294
160	247	1287
161	247	1281
162	248	1275
163	248	1269
164	249	1263
165	250	1257
166	250	1251
167	251	1245
168	252	1239
169	252	1234
170	253	1228
171	254	1223
172	254	1217
173	255	1211
174	255	1206
175	256	1200
176	257	1195
177	257	1189
178	258	1184
179	258	1178
180	259	1173
181	259	1168
182	260	1163
183	261	1157
184	261	1152
185	262	1147
186	262	1142
187	263	1137
188	263	1132
189	264	1127
190	265	1122
191	265	1118
192	266	1113
193	267	1109
194	267	1104
195	268	1100
196	269	1096
197	269	1092
198	270	1088
199	271	1084
200	271	1080
201	272	1076
202	273	1072
203	273	1067
204	274	1063
205	274	1059
206	275	1055
207	276	1051
208	276	1047
209	277	1043
210	278	1040
211	278	1036
212	279	1032
213	280	1028
214	280	1024
215	281	1020
216	281	1016
217	282	1012
218	282	1008
219	283	1005
220	284	1002
221	285	999
222	285	995
223	286	992
224	287	988
225	287	985
226	288	981
227	288	978
228	289	974
229	290	971
230	290	967
231	291	963
232	291	960
233	292	957
234	292	953
235	293	950
236	294	947
237	295	944
238	295	941
239	296	937
240	296	934
241	297	931
242	297	927
243	298	924
244	299	921
245	300	919
246	300	916
247	301	913
248	301	909
249	302	906
250	302	903
251	303	900
252	304	897
253	304	894
254	305	891
255	305	888
256	306	885
257	306	882
258	307	879
259	308	877
260	308	874
261	309	871
262	309	868
263	310	866
264	311	863
265	311	860
266	312	857
267	313	855
268	313	853
269	314	850
270	315	847
271	315	845
272	316	842
273	316	839
274	317	837
275	318	834
276	318	831
277	319	829
278	319	826
279	320	824
280	321	821
281	321	818
282	322	816
283	322	813
284	323	811
285	323	808
286	324	805
287	324	803
288	325	800
289	325	797
290	326	795
291	326	792
292	327	790
293	328	787
294	328	785
295	329	783
296	330	781
297	330	779
298	331	777
299	332	774
300	332	772
301	333	770
302	333	768
303	334	765
304	335	763
305	335	761
306	336	759
307	337	757
308	337	754
309	338	752
310	338	750
311	339	748
312	340	746
313	340	744
314	341	742
315	341	740
316	342	738
317	343	736
318	343	733
319	344	732
320	345	730
321	345	727
322	346	725
323	346	723
324	347	721
325	348	719
326	348	717
327	349	715
328	349	713
329	350	711
330	351	709
331	351	708
332	352	706
333	353	704
334	353	702
335	354	700
336	355	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	359	684
344	359	682
345	360	681
346	360	679
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	667
353	364	665
354	365	663
355	366	662
356	366	660
357	367	658
358	367	656
359	368	654
360	368	653
361	369	651
362	370	649
363	370	647
364	371	645
365	371	643
366	372	642
367	372	640
368	373	638
369	373	636
370	374	635
371	375	633
372	375	631
373	376	630
374	377	628
375	378	627
376	378	626
377	379	624
378	380	623
379	381	621
380	381	620
381	382	618
382	383	617
383	383	615
384	384	614
385	385	612
386	385	610
387	386	609
388	386	607
389	387	606
390	388	604
391	388	603
392	389	601
393	390	600
394	390	598
395	391	597
396	392	595
397	393	594
398	393	593
399	394	591
400	394	589
401	395	588
402	396	586
403	396	585
404	397	583
405	397	582
406	398	580
407	399	579
408	399	577
409	400	576
410	400	574
411	401	573
412	402	571
413	402	569
414	403	568
415	403	566
416	404	565
417	405	564
418	405	562
419	406	561
420	407	560
421	407	558
422	408	557
423	409	555
424	409	554
425	410	552
426	410	551
427	411	549
428	411	548
429	412	546
430	412	545
431	413	543
432	414	542
433	414	540
434	415	539
435	416	538
436	416	536
437	417	535
438	417	533
439	418	532
440	418	530
441	419	529
442	419	527
443	420	526
444	421	525
445	421	524
446	422	522
447	423	521
448	423	519
449	424	518
450	424	517
451	425	515
452	426	514
453	426	512
454	427	511
455	427	510
456	428	508
457	428	507
458	429	506
459	429	504
460	430	503
461	431	501
462	431	500
463	432	499
464	432	498
465	433	496
466	434	495
467	434	494
468	435	492
469	436	491
470	436	490
471	437	489
472	438	488
473	438	486
474	439	485
475	439	484
476	440	482
477	440	481
478	441	480
479	442	478
480	442	477
481	443	476
482	443	474
483	444	473
484	444	472
485	445	470
486	445	469
487	446	468
488	446	467
489	447	465
490	448	464
491	448	463
492	449	462
493	450	460
494	450	459
495	451	458
496	452	457
497	452	456
498	453	455
499	453	453
500	454	452
501	454	451
502	455	449
503	455	448
504	456	447
505	456	446
506	457	444
507	457	443
508	458	442
509	458	440
510	459	439
511	460	438
512	460	437
513	461	436
514	461	434
515	462	433
516	463	432
517	463	431
518	464	430
519	464	428
520	465	427
521	465	426
522	466	425
523	467	424
524	467	423
525	468	422
526	469	421
527	470	420
528	470	419
529	471	418
530	472	416
531	472	415
532	473	414
533	473	413
534	474	412
535	475	411
536	476	410
537	476	409
538	477	408
539	478	407
540	478	406
541	479	404
542	479	403
543	480	402
544	481	401
545	482	400
546	482	399
547	483	398
548	484	397
549	484	396
550	485	395
551	486	394
552	486	393
553	487	392
554	488	391
555	488	390
556	489	389
557	490	388
558	490	387
559	491	386
560	492	385
561	492	384
562	493	383
563	494	382
564	495	381
565	495	380
566	496	379
567	497	378
568	497	376
569	498	375
570	499	374
571	499	374
572	500	372
573	501	372
574	501	371
575	502	370
576	503	369
577	503	367
578	504	366
579	505	366
580	506	365
581	507	364
582	507	363
583	508	362
584	509	361
585	509	360
586	510	359
587	510	358
588	511	357
589	512	356
590	513	355
591	513	354
592	514	353
593	515	352
594	515	351
595	516	350
596	517	349
597	517	348
598	518	347
599	519	346
600	520	345
601	520	344
602	521	343
603	521	342
604	522	341
605	523	340
606	523	339
607	524	338
608	524	336
609	525	335
610	525	334
611	526	333
612	527	332
613	528	331
614	528	331
615	529	330
616	530	329
617	530	328
618	531	327
619	531	326
620	532	325
621	533	324
622	533	323
623	534	321
624	534	320
625	535	319
626	536	318
627	536	317
628	537	316
629	537	315
630	538	314
631	538	313
632	539	312
633	539	311
634	540	310
635	540	309
636	541	308
637	542	307
638	542	306
639	543	305
640	544	304
641	544	303
642	545	302
643	545	301
644	546	300
645	546	299
646	547	298
647	547	297
648	548	296
649	549	295
650	549	294
651	550	293
652	550	292
653	551	291
654	551	290
655	552	289
656	553	288
657	553	287
658	554	286
659	554	285
660	555	284
661	555	283
662	556	282
663	556	281
664	557	280
665	558	279
666	558	278
667	559	277
668	559	276
669	560	276
670	561	275
671	561	274
672	562	273
673	562	272
674	563	271
675	563	270
676	564	269
677	564	268
678	565	267
679	565	266
680	566	265
681	567	264
682	567	263
683	568	262
684	568	261
685	569	260
686	569	259
687	570	258
688	570	257
689	571	256
690	571	255
691	572	254
692	573	254
693	574	253
694	574	252
695	575	251
696	576	250
697	576	249
698	577	248
699	578	247
700	578	246
701	579	245
702	579	245
703	580	244
704	581	243
705	581	242
706	582	241
707	582	240
708	583	239
709	584	238
710	584	237
711	585	236
712	585	235
713	586	234
714	587	234
715	588	233
716	588	232
717	589	231
718	589	230
719	590	229
720	590	228
721	591	227
722	592	226
723	592	225
724	593	224
725	593	224
726	594	223
727	594	222
728	595	221
729	596	220
730	596	219
731	597	218
732	597	217
733	598	216
734	598	215
735	599	215
736	600	214
737	600	213
738	601	212
739	602	211
740	602	210
741	603	209
742	604	208
743	604	208
744	605	207
745	605	206
746	606	205
747	606	204
748	607	203
749	608	202
750	608	201
751	609	200
752	609	200
753	610	199
754	611	198
755	611	197
756	612	196
757	612	195
758	613	194
759	613	193
760	614	193
761	615	192
762	615	191
763	616	190
764	616	189
765	617	188
766	618	187
767	618	186
768	619	186
769	619	185
770	620	184
771	621	183
772	621	182
773	622	181
774	622	180
775	623	179
776	623	179
777	624	178
778	624	177
779	625	176
780	626	175
781	626	174
782	627	173
783	627	172
784	628	172
